label,content,clean,norm,stop,token,stem
positif,mantap atuh,mantap atuh, mantap atuh , mantap atuh ,"['mantap', 'atuh']",mantap atuh
positif,"mantap, cepat , dan akurat",mantap cepat dan akurat, mantap cepat dan akurat , mantap cepat akurat ,"['mantap', 'cepat', 'akurat']",mantap cepat akurat
netral,"refund lama, harga barang kebanyakan lebih mahal karena kebanyakan seller udh ga update, gratis ongkir cuma cocok untuk satu seller aja tapi kl belanja di beda seller yaudah malah tekor dan voucher-nya kebanyakan gimmick, bukannya penasaran malah jadi males makenya. Untuk CS sih udh ok ya.",refund lama harga barang kebanyakan lebih mahal karena kebanyakan seller udh ga update gratis ongkir cuma cocok untuk satu seller aja tapi kl belanja di beda seller yaudah malah tekor dan vouchernya kebanyakan gimmick bukannya penasaran malah jadi males makenya untuk cs sih udh ok ya, refund lama harga barang kebanyakan lebih mahal karena kebanyakan seller udh tidak update gratis ongkir cuma cocok untuk satu seller aja tapi kl belanja di beda seller yaudah malah tekor dan vouchernya kebanyakan gimmick bukannya penasaran malah jadi males makenya untuk cs sih udh ok ya , refund lama harga barang kebanyakan mahal kebanyakan seller udh update gratis ongkir cuma cocok satu seller aja kl belanja beda seller yaudah malah tekor vouchernya kebanyakan gimmick bukannya penasaran malah jadi males makenya cs sih udh ya ,"['refund', 'lama', 'harga', 'barang', 'kebanyakan', 'mahal', 'kebanyakan', 'seller', 'udh', 'update', 'gratis', 'ongkir', 'cuma', 'cocok', 'satu', 'seller', 'aja', 'kl', 'belanja', 'beda', 'seller', 'yaudah', 'malah', 'tekor', 'vouchernya', 'kebanyakan', 'gimmick', 'bukannya', 'penasaran', 'malah', 'jadi', 'males', 'makenya', 'cs', 'sih', 'udh', 'ya']",refund lama harga barang banyak mahal banyak seller udh update gratis ongkir cuma cocok satu seller aja kl belanja beda seller yaudah malah tekor vouchernya banyak gimmick bukan penasaran malah jadi males makenya cs sih udh ya
positif,sangat mudah digunakan,sangat mudah digunakan, sangat mudah digunakan , mudah digunakan ,"['mudah', 'digunakan']",mudah guna
positif,mudah menggunakan pembelian,mudah menggunakan pembelian, mudah menggunakan pembelian , mudah menggunakan pembelian ,"['mudah', 'menggunakan', 'pembelian']",mudah guna beli
netral,kk mau nanya ini aplikasinya cod gak ya? atau harus bayar dulu lewat hp setelah itu baru dikirim?,kk mau nanya ini aplikasinya cod gak ya atau harus bayar dulu lewat hp setelah itu baru dikirim, kk mau nanya ini aplikasinya cod tidak ya atau harus bayar dulu lewat hp setelah itu baru dikirim , kk mau nanya aplikasinya cod ya harus bayar dulu lewat hp itu dikirim ,"['kk', 'mau', 'nanya', 'aplikasinya', 'cod', 'ya', 'harus', 'bayar', 'dulu', 'lewat', 'hp', 'itu', 'dikirim']",kk mau nanya aplikasi cod ya harus bayar dulu lewat hp itu kirim
negatif,seller nya lama pengiriman nya juga lama padahal pakai sameday,seller nya lama pengiriman nya juga lama padahal pakai sameday, seller nya lama pengiriman nya juga lama padahal pakai sameday , seller nya lama pengiriman nya lama padahal pakai sameday ,"['seller', 'nya', 'lama', 'pengiriman', 'nya', 'lama', 'padahal', 'pakai', 'sameday']",seller nya lama kirim nya lama padahal pakai sameday
netral,👍,,  ,  ,[],
netral,banyak Promo,banyak promo, banyak promo , promo ,['promo'],promo
netral,topbanget,topbanget, topbanget , topbanget ,['topbanget'],topbanget
netral,⭐️⭐️⭐️⭐️⭐️,,  ,  ,[],
positif,"gampang digunakan, banyak promo, barang ori garansi",gampang digunakan banyak promo barang ori garansi, gampang digunakan banyak promo barang ori garansi , gampang digunakan promo barang ori garansi ,"['gampang', 'digunakan', 'promo', 'barang', 'ori', 'garansi']",gampang guna promo barang ori garansi
positif,mudah banget pembayarannya,mudah banget pembayarannya, mudah banget pembayarannya , mudah banget pembayarannya ,"['mudah', 'banget', 'pembayarannya']",mudah banget bayar
positif,sangat puas dh Belanja di Blibli,sangat puas dh belanja di blibli, sangat puas dh belanja di blibli , puas dh belanja blibli ,"['puas', 'dh', 'belanja', 'blibli']",puas dh belanja blibli
negatif,"aplikasi paling jelek,tida bisa memanusiakan manusia,masa barang kosong di cancel dari tokonya pencairannya bentuk voucher udah gitu voucher mau di gunakan harus belanja dlu ada minimum transaksi baru bisa di gunakan dan ada jangka hangusnya, pikir-pikir dlu kalo mau belanja disini, daripada jadi korban aplikasi,",aplikasi paling jelektida bisa memanusiakan manusiamasa barang kosong di cancel dari tokonya pencairannya bentuk voucher udah gitu voucher mau di gunakan harus belanja dlu ada minimum transaksi baru bisa di gunakan dan ada jangka hangusnya pikirpikir dlu kalo mau belanja disini daripada jadi korban aplikasi, aplikasi paling jelektida bisa memanusiakan manusiamasa barang kosong di cancel dari tokonya pencairannya bentuk voucher udah gitu voucher mau di gunakan harus belanja dlu ada minimum transaksi baru bisa di gunakan dan ada jangka hangusnya pikirpikir dlu kalo mau belanja disini daripada jadi korban aplikasi , aplikasi paling jelektida memanusiakan manusiamasa barang kosong cancel tokonya pencairannya bentuk voucher udah gitu voucher mau gunakan belanja dlu minimum transaksi bisa gunakan ada jangka hangusnya pikirpikir dlu kalo mau belanja disini jadi korban aplikasi ,"['aplikasi', 'paling', 'jelektida', 'memanusiakan', 'manusiamasa', 'barang', 'kosong', 'cancel', 'tokonya', 'pencairannya', 'bentuk', 'voucher', 'udah', 'gitu', 'voucher', 'mau', 'gunakan', 'belanja', 'dlu', 'minimum', 'transaksi', 'bisa', 'gunakan', 'ada', 'jangka', 'hangusnya', 'pikirpikir', 'dlu', 'kalo', 'mau', 'belanja', 'disini', 'jadi', 'korban', 'aplikasi']",aplikasi paling jelektida manusia manusiamasa barang kosong cancel toko cair bentuk voucher udah gitu voucher mau guna belanja dlu minimum transaksi bisa guna ada jangka hangus pikirpikir dlu kalo mau belanja sini jadi korban aplikasi
netral,kenapa hanya login aja eror,kenapa hanya login aja eror, kenapa hanya login aja eror , hanya login aja eror ,"['hanya', 'login', 'aja', 'eror']",hanya login aja eror
netral,pencarian di poto ngaco terus bikin pusing,pencarian di poto ngaco terus bikin pusing, pencarian di poto ngaco terus bikin pusing , pencarian poto ngaco terus bikin pusing ,"['pencarian', 'poto', 'ngaco', 'terus', 'bikin', 'pusing']",cari poto ngaco terus bikin pusing
netral,"oke sih, cm kadang pengecekan pembayaran sedikit butuh waktu",oke sih cm kadang pengecekan pembayaran sedikit butuh waktu, oke sih cm kadang pengecekan pembayaran sedikit butuh waktu , oke sih cm kadang pengecekan pembayaran sedikit butuh waktu ,"['oke', 'sih', 'cm', 'kadang', 'pengecekan', 'pembayaran', 'sedikit', 'butuh', 'waktu']",oke sih cm kadang kece bayar sedikit butuh waktu
positif,mantap dan lanjutkan,mantap dan lanjutkan, mantap dan lanjutkan , mantap lanjutkan ,"['mantap', 'lanjutkan']",mantap lanjut
netral,"1 kelemahan Blibli, gratis ongkir 100% sampai ke Rp.0 cuma berlaku jika kita belanja di 1 seller. Saat belanja di beberapa seller selalu ada sisa ongkir yang harus dibayar (ini sih diskon bukan gratis). Padahal di e-commerce lain bisa loh sampai ke Rp.0 walau belanjanya di beberapa seller. Apa mungkin karena voucher yang bisa dipakai cuma 1? Entahlah. Mohon perbaikannya di bagian ini. *GA PERLU minta saya hubungi CS via channel lain, keluhan saya diatas sudah sangat jelas.",1 kelemahan blibli gratis ongkir 100 sampai ke rp0 cuma berlaku jika kita belanja di 1 seller saat belanja di beberapa seller selalu ada sisa ongkir yang harus dibayar ini sih diskon bukan gratis padahal di ecommerce lain bisa loh sampai ke rp0 walau belanjanya di beberapa seller apa mungkin karena voucher yang bisa dipakai cuma 1 entahlah mohon perbaikannya di bagian ini ga perlu minta saya hubungi cs via channel lain keluhan saya diatas sudah sangat jelas, 1 kelemahan blibli gratis ongkir 100 sampai ke rp0 cuma berlaku jika kita belanja di 1 seller saat belanja di beberapa seller selalu ada sisa ongkir yang harus dibayar ini sih diskon bukan gratis padahal di ecommerce lain bisa loh sampai ke rp0 walau belanjanya di beberapa seller apa mungkin karena voucher yang bisa dipakai cuma 1 entahlah mohon perbaikannya di bagian ini tidak perlu minta saya hubungi cs via channel lain keluhan saya diatas sudah sangat jelas , 1 kelemahan blibli gratis ongkir 100 ke rp0 cuma berlaku kita belanja 1 seller belanja beberapa seller selalu sisa ongkir harus dibayar sih diskon gratis padahal ecommerce bisa loh ke rp0 belanjanya beberapa seller mungkin voucher bisa dipakai cuma 1 entahlah mohon perbaikannya bagian tidak perlu minta hubungi cs via channel keluhan diatas sangat jelas ,"['1', 'kelemahan', 'blibli', 'gratis', 'ongkir', '100', 'ke', 'rp0', 'cuma', 'berlaku', 'kita', 'belanja', '1', 'seller', 'belanja', 'beberapa', 'seller', 'selalu', 'sisa', 'ongkir', 'harus', 'dibayar', 'sih', 'diskon', 'gratis', 'padahal', 'ecommerce', 'bisa', 'loh', 'ke', 'rp0', 'belanjanya', 'beberapa', 'seller', 'mungkin', 'voucher', 'bisa', 'dipakai', 'cuma', '1', 'entahlah', 'mohon', 'perbaikannya', 'bagian', 'tidak', 'perlu', 'minta', 'hubungi', 'cs', 'via', 'channel', 'keluhan', 'diatas', 'sangat', 'jelas']",1 lemah blibli gratis ongkir 100 ke rp0 cuma laku kita belanja 1 seller belanja beberapa seller selalu sisa ongkir harus bayar sih diskon gratis padahal ecommerce bisa loh ke rp0 belanja beberapa seller mungkin voucher bisa pakai cuma 1 entah mohon baik bagi tidak perlu minta hubung cs via channel keluh atas sangat jelas
positif,recommended,recommended, recommended , recommended ,['recommended'],recommended
negatif,"Tidak ada jumlah stok barang di etalase. Jika penjual membatalkan pesanan, Pengembalian Dananya ke akun kita terlalu lama. Not Recomended buat Bisnis.",tidak ada jumlah stok barang di etalase jika penjual membatalkan pesanan pengembalian dananya ke akun kita terlalu lama not recomended buat bisnis, tidak ada jumlah stok barang di etalase jika penjual membatalkan pesanan pengembalian dananya ke akun kita terlalu lama not recomended buat bisnis , ada jumlah stok barang etalase penjual membatalkan pesanan pengembalian dananya akun terlalu lama not recomended buat bisnis ,"['ada', 'jumlah', 'stok', 'barang', 'etalase', 'penjual', 'membatalkan', 'pesanan', 'pengembalian', 'dananya', 'akun', 'terlalu', 'lama', 'not', 'recomended', 'buat', 'bisnis']",ada jumlah stok barang etalase jual batal pesan kembali dana akun terlalu lama not recomended buat bisnis
negatif,pengembalian dana saya blm masuk sampe saat ini aneh ini aplikasi. seharusnya dikembalikan bukan di tukar pocer pengalmn pertma blnja sangat jelek aplikasi ini tapi.,pengembalian dana saya blm masuk sampe saat ini aneh ini aplikasi seharusnya dikembalikan bukan di tukar pocer pengalmn pertma blnja sangat jelek aplikasi ini tapi, pengembalian dana saya blm masuk sampe saat ini aneh ini aplikasi seharusnya dikembalikan bukan di tukar pocer pengalmn pertma blnja sangat jelek aplikasi ini tapi , pengembalian dana blm masuk sampe aneh aplikasi dikembalikan di tukar pocer pengalmn pertma blnja jelek aplikasi ini tapi ,"['pengembalian', 'dana', 'blm', 'masuk', 'sampe', 'aneh', 'aplikasi', 'dikembalikan', 'di', 'tukar', 'pocer', 'pengalmn', 'pertma', 'blnja', 'jelek', 'aplikasi', 'ini', 'tapi']",kembali dana blm masuk sampe aneh aplikasi kembali di tukar pocer pengalmn pertma blnja jelek aplikasi ini tapi
netral,download cuma mau kasih bintang 1. pembeli dapat barang reject pabrik ga ada solusi malah di aniaya.,download cuma mau kasih bintang 1 pembeli dapat barang reject pabrik ga ada solusi malah di aniaya, download cuma mau kasih bintang 1 pembeli dapat barang reject pabrik tidak ada solusi malah di aniaya , download cuma mau kasih bintang 1 pembeli barang reject pabrik ada solusi malah aniaya ,"['download', 'cuma', 'mau', 'kasih', 'bintang', '1', 'pembeli', 'barang', 'reject', 'pabrik', 'ada', 'solusi', 'malah', 'aniaya']",download cuma mau kasih bintang 1 beli barang reject pabrik ada solusi malah aniaya
netral,luar biasa,luar biasa, luar biasa , luar biasa ,"['luar', 'biasa']",luar biasa
netral,great 👍👍👏👏 Thankyou so much 🙏🙏,great thankyou so much, great thankyou so much , great thankyou so much ,"['great', 'thankyou', 'so', 'much']",great thankyou so much
netral,kenapa kok lelet app blibli? tolong benahi appx masa jaringan wifi 20 mbps masih lelet...??? un instal saja...,kenapa kok lelet app blibli tolong benahi appx masa jaringan wifi 20 mbps masih lelet un instal saja, kenapa kok lelet app blibli tolong benahi appx masa jaringan wifi 20 mbps masih lelet un instal saja , kok lelet app blibli benahi appx masa jaringan wifi 20 mbps lelet un instal ,"['kok', 'lelet', 'app', 'blibli', 'benahi', 'appx', 'masa', 'jaringan', 'wifi', '20', 'mbps', 'lelet', 'un', 'instal']",kok lelet app blibli benah appx masa jaring wifi 20 mbps lelet un instal
negatif,aniaya customer 💔,aniaya customer, aniaya customer , aniaya customer ,"['aniaya', 'customer']",aniaya customer
netral,pasti ori dan dijamin ori hehe,pasti ori dan dijamin ori hehe, pasti ori dan dijamin ori hehe , ori dijamin ori hehe ,"['ori', 'dijamin', 'ori', 'hehe']",ori jamin ori hehe
positif,"ini baru nama nya belanja online No.1 BLi BLi semoga BLi BLi semakin terdepan., kalau bisa di banyakin terus promo promo nya., terutama makanan minuman dan tempat rekreasi keluarga yang saya suka.",ini baru nama nya belanja online no1 bli bli semoga bli bli semakin terdepan kalau bisa di banyakin terus promo promo nya terutama makanan minuman dan tempat rekreasi keluarga yang saya suka, ini baru nama nya belanja online no1 bli bli semoga bli bli semakin terdepan kalau bisa di banyakin terus promo promo nya terutama makanan minuman dan tempat rekreasi keluarga yang saya suka , baru nama nya belanja online no1 bli bli semoga bli bli semakin terdepan bisa banyakin terus promo promo nya terutama makanan minuman tempat rekreasi keluarga saya suka ,"['baru', 'nama', 'nya', 'belanja', 'online', 'no1', 'bli', 'bli', 'semoga', 'bli', 'bli', 'semakin', 'terdepan', 'bisa', 'banyakin', 'terus', 'promo', 'promo', 'nya', 'terutama', 'makanan', 'minuman', 'tempat', 'rekreasi', 'keluarga', 'saya', 'suka']",baru nama nya belanja online no1 bli bli moga bli bli makin depan bisa banyakin terus promo promo nya utama makan minum tempat rekreasi keluarga saya suka
positif,bagus,bagus, bagus , bagus ,['bagus'],bagus
positif,aplikasi yang bagus,aplikasi yang bagus, aplikasi yang bagus , aplikasi bagus ,"['aplikasi', 'bagus']",aplikasi bagus
positif,"E-com terrr trusted pokoknya, keren jga performanya",ecom terrr trusted pokoknya keren jga performanya, ecom terrr trusted pokoknya keren jga performanya , ecom terrr trusted pokoknya keren jga performanya ,"['ecom', 'terrr', 'trusted', 'pokoknya', 'keren', 'jga', 'performanya']",ecom terrr trusted pokok keren jga performa
netral,mantappp,mantappp, mantappp , mantappp ,['mantappp'],mantappp
positif,keren,keren, keren , keren ,['keren'],keren
positif,Top,top, top , top ,['top'],top
netral,kenapa tidak bisa top up blipay,kenapa tidak bisa top up blipay, kenapa tidak bisa top up blipay , tidak top up blipay ,"['tidak', 'top', 'up', 'blipay']",tidak top up blipay
positif,ok mantap pak bos,ok mantap pak bos, ok mantap pak bos , mantap pak bos ,"['mantap', 'pak', 'bos']",mantap pak bos
positif,"bagus sih sayangnya belum banyak distributor yang join, jadi harganya kalah sama toko oren",bagus sih sayangnya belum banyak distributor yang join jadi harganya kalah sama toko oren, bagus sih sayangnya belum banyak distributor yang join jadi harganya kalah sama toko oren , bagus sih sayangnya banyak distributor join jadi harganya kalah sama toko oren ,"['bagus', 'sih', 'sayangnya', 'banyak', 'distributor', 'join', 'jadi', 'harganya', 'kalah', 'sama', 'toko', 'oren']",bagus sih sayang banyak distributor join jadi harga kalah sama toko oren
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
netral,barang original,barang original, barang original , barang original ,"['barang', 'original']",barang original
netral,"email dari blibli dapat voucher, jadinya daya download, eh aplikasinya malah gak bisa dipakai. pas dibuka muncul notif aktivitas tidak biasa 🙃🙃",email dari blibli dapat voucher jadinya daya download eh aplikasinya malah gak bisa dipakai pas dibuka muncul notif aktivitas tidak biasa, email dari blibli dapat voucher jadinya daya download eh aplikasinya malah tidak bisa dipakai pas dibuka muncul notif aktivitas tidak biasa , email blibli voucher jadinya daya download eh aplikasinya malah bisa dipakai pas dibuka muncul notif aktivitas biasa ,"['email', 'blibli', 'voucher', 'jadinya', 'daya', 'download', 'eh', 'aplikasinya', 'malah', 'bisa', 'dipakai', 'pas', 'dibuka', 'muncul', 'notif', 'aktivitas', 'biasa']",email blibli voucher jadi daya download eh aplikasi malah bisa pakai pas buka muncul notif aktivitas biasa
negatif,apk sangat lelet .untk pengiriman dan tarik tunai👎,apk sangat lelet untk pengiriman dan tarik tunai, apk sangat lelet untk pengiriman dan tarik tunai , apk lelet untk pengiriman tarik tunai ,"['apk', 'lelet', 'untk', 'pengiriman', 'tarik', 'tunai']",apk lelet untk kirim tarik tunai
positif,bagus,bagus, bagus , bagus ,['bagus'],bagus
netral,Blibli behind sale belanja produk flash drive thru harga paket promo makanan minuman spesial tekajut lihat temenan sama renjun yuk bisa yuk nggak kamu mau tahu kita malah keliatan makin kesini,blibli behind sale belanja produk flash drive thru harga paket promo makanan minuman spesial tekajut lihat temenan sama renjun yuk bisa yuk nggak kamu mau tahu kita malah keliatan makin kesini, blibli behind sale belanja produk flash drive thru harga paket promo makanan minuman spesial tekajut lihat temenan sama renjun yuk bisa yuk tidak kamu mau tahu kita malah keliatan makin kesini , blibli behind sale belanja produk flash drive thru harga paket promo makanan minuman spesial tekajut lihat temenan sama renjun yuk yuk kamu mau tahu malah keliatan makin kesini ,"['blibli', 'behind', 'sale', 'belanja', 'produk', 'flash', 'drive', 'thru', 'harga', 'paket', 'promo', 'makanan', 'minuman', 'spesial', 'tekajut', 'lihat', 'temenan', 'sama', 'renjun', 'yuk', 'yuk', 'kamu', 'mau', 'tahu', 'malah', 'keliatan', 'makin', 'kesini']",blibli behind sale belanja produk flash drive thru harga paket promo makan minum spesial tekajut lihat temenan sama renjun yuk yuk kamu mau tahu malah liat makin kesini
positif,good,good, good , good ,['good'],good
positif,luar biasa,luar biasa, luar biasa , luar biasa ,"['luar', 'biasa']",luar biasa
netral,di blibli benar benar no blabla..,di blibli benar benar no blabla, di blibli benar benar no blabla , blibli benar benar no blabla ,"['blibli', 'benar', 'benar', 'no', 'blabla']",blibli benar benar no blabla
netral,"paling ribet buat belanja ya Blibli ini ,reffund saldo dan upgrade bliblipaynya pun ribet ....skip mending ijo atau Oren",paling ribet buat belanja ya blibli ini reffund saldo dan upgrade bliblipaynya pun ribet skip mending ijo atau oren, paling ribet buat belanja ya blibli ini reffund saldo dan upgrade bliblipaynya pun ribet skip mending ijo atau oren , paling ribet buat belanja blibli reffund saldo upgrade bliblipaynya ribet skip mending ijo oren ,"['paling', 'ribet', 'buat', 'belanja', 'blibli', 'reffund', 'saldo', 'upgrade', 'bliblipaynya', 'ribet', 'skip', 'mending', 'ijo', 'oren']",paling ribet buat belanja blibli reffund saldo upgrade bliblipaynya ribet skip mending ijo oren
positif,sangat membantu,sangat membantu, sangat membantu , membantu ,['membantu'],bantu
positif,daebak!!,daebak, daebak , daebak ,['daebak'],daebak
positif,terbaik,terbaik, terbaik , terbaik ,['terbaik'],baik
positif,mantap.asal bukan barang abal abal yg datang.. pesan ini lain yg datang,mantapasal bukan barang abal abal yg datang pesan ini lain yg datang, mantapasal bukan barang abal abal yang datang pesan ini lain yang datang , mantapasal barang abal abal datang pesan lain datang ,"['mantapasal', 'barang', 'abal', 'abal', 'datang', 'pesan', 'lain', 'datang']",mantapasal barang abal abal datang pesan lain datang
positif,sangat membantu untuk pesanan tertentu. walaupun ongkirnya mahal.,sangat membantu untuk pesanan tertentu walaupun ongkirnya mahal, sangat membantu untuk pesanan tertentu walaupun ongkirnya mahal , membantu pesanan tertentu walaupun ongkirnya mahal ,"['membantu', 'pesanan', 'tertentu', 'walaupun', 'ongkirnya', 'mahal']",bantu pesan tentu walaupun ongkirnya mahal
negatif,"suara notifnya cempreng, kurang kreatif. masi mending punya tokped sama shopee. selera yg pilih sound notif blibli jelek, bikin pengguna risih. jangan pakai alibi ""kalo gk mau berisik matiin notif"". emang karyawan blibli gk kreatif aja. ganti aja sound notifnya, bikin gedeg",suara notifnya cempreng kurang kreatif masi mending punya tokped sama shopee selera yg pilih sound notif blibli jelek bikin pengguna risih jangan pakai alibi kalo gk mau berisik matiin notif emang karyawan blibli gk kreatif aja ganti aja sound notifnya bikin gedeg, suara notifnya cempreng kurang kreatif masi mending punya tokped sama shopee selera yang pilih sound notif blibli jelek bikin pengguna risih jangan pakai alibi kalo gk mau berisik matiin notif emang karyawan blibli gk kreatif aja ganti aja sound notifnya bikin gedeg , suara notifnya cempreng kurang kreatif masi mending punya tokped sama shopee selera pilih sound notif blibli jelek bikin pengguna risih jangan pakai alibi kalo gk mau berisik matiin notif emang karyawan blibli gk kreatif aja ganti aja sound notifnya bikin gedeg ,"['suara', 'notifnya', 'cempreng', 'kurang', 'kreatif', 'masi', 'mending', 'punya', 'tokped', 'sama', 'shopee', 'selera', 'pilih', 'sound', 'notif', 'blibli', 'jelek', 'bikin', 'pengguna', 'risih', 'jangan', 'pakai', 'alibi', 'kalo', 'gk', 'mau', 'berisik', 'matiin', 'notif', 'emang', 'karyawan', 'blibli', 'gk', 'kreatif', 'aja', 'ganti', 'aja', 'sound', 'notifnya', 'bikin', 'gedeg']",suara notifnya cempreng kurang kreatif mas mending punya tokped sama shopee selera pilih sound notif blibli jelek bikin guna risih jangan pakai alibi kalo gk mau berisik matiin notif emang karyawan blibli gk kreatif aja ganti aja sound notifnya bikin gedeg
positif,keren simpel,keren simpel, keren simpel , keren simpel ,"['keren', 'simpel']",keren simpel
negatif,dana voucher refund tiba tiba hilang sendiri,dana voucher refund tiba tiba hilang sendiri, dana voucher refund tiba tiba hilang sendiri , dana voucher refund tiba tiba hilang sendiri ,"['dana', 'voucher', 'refund', 'tiba', 'tiba', 'hilang', 'sendiri']",dana voucher refund tiba tiba hilang sendiri
negatif,"ribettt, semoet ada uang returan 200 ribu-+ pas mau bayar scan malah harus ini itu ini itu dulu ribett, sangat tidak di rekomendasi kan untuk yang mau sesimple main shopee",ribettt semoet ada uang returan 200 ribu pas mau bayar scan malah harus ini itu ini itu dulu ribett sangat tidak di rekomendasi kan untuk yang mau sesimple main shopee, ribettt semoet ada uang returan 200 ribu pas mau bayar scan malah harus ini itu ini itu dulu ribett sangat tidak di rekomendasi kan untuk yang mau sesimple main shopee , ribettt semoet uang returan 200 ribu pas mau bayar scan malah ini ini dulu ribett tidak rekomendasi kan yang mau sesimple main shopee ,"['ribettt', 'semoet', 'uang', 'returan', '200', 'ribu', 'pas', 'mau', 'bayar', 'scan', 'malah', 'ini', 'ini', 'dulu', 'ribett', 'tidak', 'rekomendasi', 'kan', 'yang', 'mau', 'sesimple', 'main', 'shopee']",ribettt semoet uang retur 200 ribu pas mau bayar scan malah ini ini dulu ribett tidak rekomendasi kan yang mau sesimple main shopee
positif,mantab,mantab, mantab , mantab ,['mantab'],mantab
positif,mantab dan cepat,mantab dan cepat, mantab dan cepat , mantab cepat ,"['mantab', 'cepat']",mantab cepat
negatif,"wah gila ulasannya pas di awal bintang 5 tapi pas di cek rata"" bintang1 semu ini ulasan terbaru padahal",wah gila ulasannya pas di awal bintang 5 tapi pas di cek rata bintang1 semu ini ulasan terbaru padahal, wah gila ulasannya pas di awal bintang 5 tapi pas di cek rata bintang1 semu ini ulasan terbaru padahal , wah gila ulasannya pas awal bintang 5 pas cek rata bintang1 semu ulasan terbaru padahal ,"['wah', 'gila', 'ulasannya', 'pas', 'awal', 'bintang', '5', 'pas', 'cek', 'rata', 'bintang1', 'semu', 'ulasan', 'terbaru', 'padahal']",wah gila ulas pas awal bintang 5 pas cek rata bintang1 semu ulas baru padahal
positif,suka banget belanja di blibli,suka banget belanja di blibli, suka banget belanja di blibli , suka banget belanja blibli ,"['suka', 'banget', 'belanja', 'blibli']",suka banget belanja blibli
netral,fastest!!!! excellent!,fastest excellent, fastest excellent , fastest excellent ,"['fastest', 'excellent']",fastest excellent
negatif,transaksi pulsa sering gagal krn batas maksimum pdhl belum ada transaksi di hari yg sama,transaksi pulsa sering gagal krn batas maksimum pdhl belum ada transaksi di hari yg sama, transaksi pulsa sering gagal krn batas maksimum pdhl belum ada transaksi di hari yang sama , transaksi pulsa sering gagal krn batas maksimum pdhl ada transaksi hari sama ,"['transaksi', 'pulsa', 'sering', 'gagal', 'krn', 'batas', 'maksimum', 'pdhl', 'ada', 'transaksi', 'hari', 'sama']",transaksi pulsa sering gagal krn batas maksimum pdhl ada transaksi hari sama
netral,meskipun tidak semurah di app lain tapi appkasinyah gak ribet dan bisa kirim kemana ajh,meskipun tidak semurah di app lain tapi appkasinyah gak ribet dan bisa kirim kemana ajh, meskipun tidak semurah di app lain tapi appkasinyah tidak ribet dan bisa kirim kemana ajh , meskipun semurah app tapi appkasinyah ribet bisa kirim ajh ,"['meskipun', 'semurah', 'app', 'tapi', 'appkasinyah', 'ribet', 'bisa', 'kirim', 'ajh']",meski murah app tapi appkasinyah ribet bisa kirim ajh
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
positif,lancar jayaa,lancar jayaa, lancar jayaa , lancar jayaa ,"['lancar', 'jayaa']",lancar jayaa
netral,sempurna,sempurna, sempurna , sempurna ,['sempurna'],sempurna
negatif,"Dapat blibli point tapi gak bisa dipake buat top up e money, ga ada opsi gunakan point. Apa sih gunanya kalo gitu?",dapat blibli point tapi gak bisa dipake buat top up e money ga ada opsi gunakan point apa sih gunanya kalo gitu, dapat blibli point tapi tidak bisa dipake buat top up e money tidak ada opsi gunakan point apa sih gunanya kalo gitu , blibli point dipake buat top up e money tidak ada opsi gunakan point sih gunanya kalo gitu ,"['blibli', 'point', 'dipake', 'buat', 'top', 'up', 'e', 'money', 'tidak', 'ada', 'opsi', 'gunakan', 'point', 'sih', 'gunanya', 'kalo', 'gitu']",blibli point dipake buat top up e money tidak ada opsi guna point sih guna kalo gitu
positif,oke,oke, oke , oke ,['oke'],oke
netral,Blibli is the best,blibli is the best, blibli is the best , blibli is the best ,"['blibli', 'is', 'the', 'best']",blibli is the best
negatif,bingung make nya,bingung make nya, bingung make nya , bingung make nya ,"['bingung', 'make', 'nya']",bingung make nya
positif,mantap,mantap, mantap , mantap ,['mantap'],mantap
positif,blibli sangat membantu,blibli sangat membantu, blibli sangat membantu , blibli membantu ,"['blibli', 'membantu']",blibli bantu
positif,Marketplace yang bagus barang yang dijual sesuai deskripsi semua dan setahu saya Blibli jgn seleksi ketat untuk seller yg jualan di Blibli jd pembeli aman dpt barangnya sesuai dgn judul dan deskripsinya... mantapppp,marketplace yang bagus barang yang dijual sesuai deskripsi semua dan setahu saya blibli jgn seleksi ketat untuk seller yg jualan di blibli jd pembeli aman dpt barangnya sesuai dgn judul dan deskripsinya mantapppp, marketplace yang bagus barang yang dijual sesuai deskripsi semua dan setahu saya blibli jgn seleksi ketat untuk seller yang jualan di blibli jd pembeli aman dpt barangnya sesuai dgn judul dan deskripsinya mantapppp , marketplace bagus barang dijual sesuai deskripsi semua setahu blibli jgn seleksi ketat seller jualan blibli jd pembeli aman dpt barangnya sesuai dgn judul deskripsinya mantapppp ,"['marketplace', 'bagus', 'barang', 'dijual', 'sesuai', 'deskripsi', 'semua', 'setahu', 'blibli', 'jgn', 'seleksi', 'ketat', 'seller', 'jualan', 'blibli', 'jd', 'pembeli', 'aman', 'dpt', 'barangnya', 'sesuai', 'dgn', 'judul', 'deskripsinya', 'mantapppp']",marketplace bagus barang jual sesuai deskripsi semua tahu blibli jgn seleksi ketat seller jual blibli jd beli aman dpt barang sesuai dgn judul deskripsi mantapppp
